n_photons,n_modes,seed,fold_index,train_acc,val_acc,test_acc,qorc_output_size,n_train_epochs,duration_qfeatures,duration_train,best_val_epoch
2,70,67,0,0.996666,0.973416,0.972999,2415,100,2.5500000000000003,80.03,68
2,80,42,0,0.998458,0.975083,0.9745,3160,100,3.3800000000000003,82.17,82
2,80,42,0,0.998458,0.975083,0.9745,3160,100,3.4000000000000004,81.98,82
2,80,47,0,0.998145,0.976499,0.975799,3160,100,2.61,82.18,95
2,80,53,0,0.998083,0.973833,0.976999,3160,100,2.57,81.69,77
2,90,42,0,0.998895,0.974583,0.974999,4005,100,2.9000000000000004,83.47,84
2,90,42,0,0.998895,0.974583,0.974999,4005,100,2.97,84.3,84
2,90,47,0,0.998583,0.973749,0.973399,4005,100,2.91,83.9,100
2,90,53,0,0.998479,0.972499,0.973999,4005,100,2.64,84.41,80
2,100,42,0,0.998979,0.970749,0.973499,4950,100,2.89,86.3,87
2,100,42,0,0.998979,0.970749,0.973499,4950,100,3.03,86.64,87
2,100,47,0,0.99952,0.973916,0.974099,4950,100,2.7,86.22,89
2,100,53,0,0.998666,0.973833,0.973499,4950,100,2.69,86.62,52
2,130,42,0,0.999291,0.972249,0.972899,8385,100,3.34,93.61,61
2,130,42,0,0.999291,0.972249,0.972899,8385,100,3.5,93.84,61
2,130,47,0,0.999812,0.971333,0.969599,8385,100,3.01,94.29,96
3,10,42,0,0.965937,0.952499,0.951999,120,100,3.12,72.54,99
3,10,47,0,0.964958,0.952166,0.954499,120,100,3.45,72.49,60
3,10,53,0,0.966312,0.952833,0.952899,120,100,2.41,71.78,71
3,10,59,0,0.963041,0.946749,0.951799,120,100,2.55,72.02,65
3,10,67,0,0.965999,0.953,0.954699,120,100,2.4,71.39,59
3,12,42,0,0.97177,0.959749,0.958499,220,100,2.74,71.77,57
3,12,47,0,0.973291,0.957083,0.959899,220,100,2.51,71.81,91
3,12,53,0,0.974083,0.958249,0.959099,220,100,2.34,72.29,98
3,12,59,0,0.973041,0.9545,0.960899,220,100,2.5,72.23,65
3,12,67,0,0.973583,0.960749,0.960099,220,100,2.36,71.85,70
3,14,42,0,0.977666,0.962666,0.962099,364,100,2.59,72.33,81
3,14,47,0,0.978333,0.959166,0.960599,364,100,2.52,72.56,65
3,14,53,0,0.978729,0.96275,0.963199,364,100,2.36,72.82,72
3,14,59,0,0.979041,0.961499,0.964899,364,100,2.51,72.79,65
3,14,67,0,0.976937,0.961916,0.960799,364,100,2.48,72.98,59
3,16,42,0,0.982958,0.966416,0.965499,560,100,2.45,73.44,87
3,16,47,0,0.985374,0.965833,0.965799,560,100,2.39,73.38,65
3,16,53,0,0.983291,0.963499,0.965399,560,100,2.35,74.03,75
3,16,59,0,0.983083,0.964666,0.968999,560,100,2.44,74.03,50
3,16,67,0,0.983708,0.967333,0.965999,560,100,2.5,73.37,70
3,18,42,0,0.988395,0.970749,0.968599,816,100,2.4,74.34,68
3,18,47,0,0.98852,0.967416,0.9702,816,100,2.49,74.33,83
3,18,53,0,0.986395,0.968833,0.967499,816,100,2.38,74.57,61
3,18,59,0,0.987333,0.967499,0.966899,816,100,2.42,74.29,50
3,18,67,0,0.988333,0.972166,0.970799,816,100,2.39,74.23,70
3,20,42,0,0.990708,0.971083,0.970499,1140,100,2.39,75.65,68
3,20,47,0,0.99175,0.971083,0.971799,1140,100,2.45,75.36,72
3,20,53,0,0.989624,0.974833,0.973899,1140,100,2.42,75.92,40
3,20,59,0,0.989833,0.970499,0.972299,1140,100,2.55,75.7,46
3,20,67,0,0.99002,0.9745,0.970999,1140,100,2.41,76.12,67
3,24,42,0,0.995395,0.976,0.973299,2024,100,2.47,79.08,68
3,24,47,0,0.995645,0.972833,0.972199,2024,100,2.42,79.35,47
3,24,53,0,0.996104,0.976249,0.975799,2024,100,2.45,78.84,61
3,24,59,0,0.995583,0.974916,0.975099,2024,100,2.61,78.99,50
3,24,67,0,0.994249,0.977583,0.975099,2024,100,2.59,79.08,36
3,30,42,0,0.998874,0.976416,0.976699,4060,100,2.52,84.47,50
3,30,47,0,0.99902,0.975916,0.975799,4060,100,2.53,84.06,56
3,30,53,0,0.998479,0.977249,0.977899,4060,100,2.66,84.69,41
3,30,59,0,0.998937,0.977249,0.977299,4060,100,2.68,84.71,51
3,30,67,0,0.998479,0.980416,0.9763,4060,100,2.64,84.17,48
3,32,42,0,0.999062,0.976249,0.975399,4960,100,3.02,87.2,62
3,32,47,0,0.999249,0.97675,0.976699,4960,100,3.01,87.18,56
3,32,53,0,0.999395,0.977416,0.9774,4960,100,2.61,86.36,62
3,32,59,0,0.998979,0.976583,0.975399,4960,100,2.69,86.4,56
3,32,67,0,0.998874,0.978749,0.975799,4960,100,2.68,86.38,48
4,10,42,0,0.978583,0.962,0.958199,715,100,1.1300000000000001,73.12,59
4,10,47,0,0.976062,0.959083,0.959599,715,100,0.77,72.17,32
4,10,53,0,0.974145,0.960083,0.960199,715,100,0.77,72.14,22
4,10,59,0,0.974375,0.958333,0.959399,715,100,0.76,71.83,44
4,10,67,0,0.977541,0.9595,0.961299,715,100,0.76,71.96,50
4,12,42,0,0.986333,0.967416,0.966499,1365,100,0.76,74.68,49
4,12,47,0,0.985166,0.965083,0.966299,1365,100,0.75,74.84,38
4,12,53,0,0.986333,0.965583,0.965299,1365,100,0.75,74.9,52
4,12,59,0,0.986083,0.965416,0.966299,1365,100,0.75,74.97,44
4,12,67,0,0.984312,0.965333,0.966199,1365,100,0.75,74.84,36
4,14,42,0,0.989479,0.968916,0.9695,2380,100,0.7999999999999999,78.03,45
4,14,47,0,0.99152,0.968333,0.968199,2380,100,0.8099999999999999,78.19,59
4,14,53,0,0.991187,0.969916,0.967799,2380,100,0.7999999999999999,77.42,38
4,14,59,0,0.993083,0.968999,0.968699,2380,100,0.82,77.85,64
4,14,67,0,0.99052,0.97025,0.966899,2380,100,0.95,78.09,48
4,16,42,0,0.996333,0.972916,0.968599,3876,100,0.85,81.2,78
4,16,47,0,0.997541,0.971083,0.968999,3876,100,0.85,82.07,82
4,16,53,0,0.996749,0.972833,0.9702,3876,100,0.85,81.16,61
4,16,59,0,0.99577,0.970499,0.970699,3876,100,0.85,81.85,46
4,16,67,0,0.997166,0.974083,0.969299,3876,100,0.85,81.44,73
5,10,42,0,0.985125,0.964249,0.960099,2002,100,1.2100000000000002,77.46,59
5,10,47,0,0.985937,0.960833,0.958499,2002,100,0.83,76.86,47
5,10,53,0,0.984854,0.962916,0.960799,2002,100,0.85,76.95,52
5,10,59,0,0.984791,0.962833,0.960799,2002,100,0.83,77.08,46
5,10,67,0,0.982749,0.962833,0.960999,2002,100,0.83,77.3,32
5,12,42,0,0.993833,0.966583,0.9659,4368,100,1.05,83.49,68
5,12,47,0,0.994062,0.966583,0.963399,4368,100,0.9099999999999999,83.67,65
5,12,53,0,0.994187,0.967583,0.9659,4368,100,0.9099999999999999,83.25,63
5,12,59,0,0.994541,0.966583,0.966299,4368,100,1.0,83.63,59
5,12,67,0,0.995145,0.967916,0.9659,4368,100,0.8899999999999999,83.68,84
6,10,42,0,0.990833,0.96375,0.957299,5005,100,1.48,85.88,63
6,10,47,0,0.993375,0.962499,0.958199,5005,100,1.1600000000000001,85.29,55
6,10,53,0,0.992333,0.962333,0.957899,5005,100,1.19,84.99,76
6,10,59,0,0.992208,0.962666,0.958,5005,100,1.47,86.67,59
6,10,67,0,0.993979,0.961583,0.957499,5005,100,1.17,85.98,82
